Flex1,Flex2,Flex3,Flex4,Flex5,Ax,Ay,Az,Label
4095,4095,4039,3922,2673,0.66,7.95,7.13,P
4095,4095,4095,4095,3071,0.44,7.99,7.41,P
4095,4095,4095,4095,2902,0.94,7.95,7.06,P
4095,4095,4095,4095,3027,0.81,7.92,7.29,P
4095,4095,4095,4095,3057,0.79,7.96,7.17,P
4095,4095,4095,4095,3086,0.86,7.89,7.18,P
4095,4095,4095,4095,3099,0.86,7.96,7.3,P
4095,4095,4095,4095,3099,0.53,7.67,7.49,P
4095,4095,4095,4095,3166,0.56,7.47,8.55,P
4095,4095,2222,2384,2773,2.11,6.5,8.57,Q
4095,4095,1777,1829,1658,1.27,6.17,9.03,Q
4095,4095,2003,2113,1936,1.28,6.24,8.98,Q
4095,4095,2073,2173,2027,1.47,6.45,8.78,Q
4095,4095,2112,2267,2103,1.7,6.57,8.77,Q
4095,4095,2193,2414,2161,1.59,6.3,9.06,Q
4095,4095,2047,2272,2007,1.09,6.21,9.03,Q
4095,4095,2323,2535,2262,1.42,6.26,9.12,Q
4095,4095,2367,2559,2317,1.19,6.19,9.05,Q
4095,4095,2320,2617,2352,1.26,6.08,9.17,Q
4095,4095,2366,2631,2399,1.18,6.12,9.21,Q
4095,4095,2362,2669,2459,1.6,6.04,9.1,Q
4095,4095,2391,2734,2514,1.59,6.24,9.17,Q
4095,4095,2448,2736,2559,1.45,6.27,9.09,Q
4095,4095,2453,2731,2624,1.28,5.98,9.17,Q
4095,4095,2464,2806,2651,1.53,5.95,9.08,Q
4095,4095,2256,2608,2480,1.88,6.17,8.85,Q
4095,4095,2511,2864,2719,1.24,6.1,9.16,Q
4095,4095,2303,2622,2526,1.67,6.33,8.84,Q
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
0,0,0,0,0,0.0,0.0,0.0,
4095,2112,2672,2314,1778,-8.31,-1.62,6.34,S
